Timestamp,Open,High,Low,Close,Volume
2024-12-31 23:00:00,93469.1,93550.9,93362.9,93394.1,484.937
2024-12-31 23:05:00,93394.1,93623.1,93356.6,93623.1,433.904
2024-12-31 23:10:00,93623.0,93736.9,93576.0,93687.3,268.385
2024-12-31 23:15:00,93687.2,93689.7,93617.7,93631.1,140.948
2024-12-31 23:20:00,93631.1,93635.2,93563.6,93607.8,151.778
2024-12-31 23:25:00,93607.7,93725.0,93599.9,93702.0,165.528
2024-12-31 23:30:00,93702.1,93715.4,93476.4,93513.4,291.641
2024-12-31 23:35:00,93513.3,93513.4,93424.4,93439.9,244.255
2024-12-31 23:40:00,93440.0,93491.5,93425.5,93478.4,210.22
2024-12-31 23:45:00,93478.5,93524.0,93457.4,93524.0,228.798
2024-12-31 23:50:00,93523.9,93690.8,93523.9,93624.5,265.406
2024-12-31 23:55:00,93624.5,93661.9,93548.9,93548.9,151.146
2025-01-01 00:00:00,93548.8,93690.0,93514.2,93648.4,341.604
2025-01-01 00:05:00,93648.3,93666.7,93576.9,93585.9,166.341
2025-01-01 00:10:00,93586.0,93637.2,93460.2,93631.2,480.204
2025-01-01 00:15:00,93631.2,93829.4,93588.0,93781.0,545.647
2025-01-01 00:20:00,93781.0,93885.0,93680.0,93712.0,392.042
2025-01-01 00:25:00,93712.0,93744.3,93692.1,93743.3,135.616
2025-01-01 00:30:00,93743.4,93948.7,93743.3,93867.8,664.457
2025-01-01 00:35:00,93867.8,93910.0,93810.0,93893.1,283.68
2025-01-01 00:40:00,93893.0,93939.7,93856.1,93857.1,233.761
2025-01-01 00:45:00,93857.1,93957.8,93834.8,93951.7,213.938
2025-01-01 00:50:00,93951.6,94294.3,93933.6,94223.5,1269.712
2025-01-01 00:55:00,94223.5,94449.2,94177.6,94363.6,1017.607
2025-01-01 01:00:00,94363.6,94363.7,94062.8,94081.6,600.166
2025-01-01 01:05:00,94081.6,94081.6,93882.7,94040.8,697.697
2025-01-01 01:10:00,94040.9,94158.4,94037.2,94116.3,378.058
2025-01-01 01:15:00,94116.3,94116.4,93930.0,93955.4,400.953
2025-01-01 01:20:00,93955.4,93967.2,93817.0,93876.9,255.396
2025-01-01 01:25:00,93876.8,93910.5,93800.0,93800.0,165.054
2025-01-01 01:30:00,93800.0,93968.8,93796.3,93940.1,236.447
2025-01-01 01:35:00,93940.0,93947.2,93873.9,93886.9,147.258
2025-01-01 01:40:00,93886.9,93951.3,93885.0,93892.1,93.114
2025-01-01 01:45:00,93892.2,93931.8,93777.1,93829.8,223.529
2025-01-01 01:50:00,93829.8,93829.8,93545.0,93602.7,573.369
2025-01-01 01:55:00,93602.6,93621.2,93566.6,93588.0,220.423
2025-01-01 02:00:00,93587.9,93754.4,93561.8,93724.7,321.084
2025-01-01 02:05:00,93724.7,93760.4,93641.4,93660.6,362.05
2025-01-01 02:10:00,93660.5,93784.5,93642.3,93768.0,149.701
2025-01-01 02:15:00,93767.9,93771.4,93656.9,93735.9,205.52
2025-01-01 02:20:00,93735.9,93747.8,93672.9,93685.9,93.821
2025-01-01 02:25:00,93685.9,93719.6,93665.3,93719.6,91.12
2025-01-01 02:30:00,93719.9,93782.0,93708.3,93758.6,173.105
2025-01-01 02:35:00,93758.5,93868.4,93745.8,93868.3,134.295
2025-01-01 02:40:00,93868.4,93910.8,93830.5,93907.3,180.841
2025-01-01 02:45:00,93907.4,93948.5,93886.8,93910.0,133.137
2025-01-01 02:50:00,93910.0,94082.4,93910.0,94000.1,250.308
2025-01-01 02:55:00,94000.0,94070.2,94000.0,94064.4,202.254
2025-01-01 03:00:00,94064.4,94070.2,93925.9,93952.1,313.849
2025-01-01 03:05:00,93952.0,94031.2,93928.6,93940.6,271.984
2025-01-01 03:10:00,93940.6,93967.3,93932.1,93938.2,65.827
2025-01-01 03:15:00,93938.2,93938.3,93805.0,93818.7,242.234
2025-01-01 03:20:00,93818.7,93831.6,93736.1,93808.9,202.074
2025-01-01 03:25:00,93808.8,93832.5,93800.0,93800.0,66.527
2025-01-01 03:30:00,93800.0,93828.2,93787.2,93793.2,129.479
2025-01-01 03:35:00,93793.2,93830.8,93768.0,93830.8,89.736
2025-01-01 03:40:00,93830.8,93861.8,93807.9,93821.6,150.06
2025-01-01 03:45:00,93821.6,93850.6,93692.6,93759.9,270.074
2025-01-01 03:50:00,93759.9,93790.9,93753.2,93777.7,66.957
2025-01-01 03:55:00,93777.8,93815.0,93772.0,93810.0,59.909
2025-01-01 04:00:00,93810.0,93810.1,93703.9,93775.9,188.44
2025-01-01 04:05:00,93775.9,93776.0,93686.6,93698.2,252.809
2025-01-01 04:10:00,93698.3,93700.0,93652.0,93686.5,304.149
2025-01-01 04:15:00,93686.4,93694.0,93640.3,93681.8,140.28
2025-01-01 04:20:00,93681.8,93750.0,93660.0,93670.0,190.494
2025-01-01 04:25:00,93670.0,93721.8,93667.1,93710.3,74.999
2025-01-01 04:30:00,93710.3,93710.3,93640.7,93658.0,148.164
2025-01-01 04:35:00,93658.1,93658.1,93589.0,93599.9,272.27
2025-01-01 04:40:00,93600.0,93620.6,93595.2,93613.6,92.039
2025-01-01 04:45:00,93613.7,93652.1,93579.1,93605.4,201.623
2025-01-01 04:50:00,93605.4,93652.5,93595.9,93618.3,96.851
2025-01-01 04:55:00,93618.3,93653.0,93502.0,93545.0,279.498
2025-01-01 05:00:00,93544.9,93574.0,93520.3,93567.4,235.413
2025-01-01 05:05:00,93567.3,93603.9,93560.0,93560.0,142.42
2025-01-01 05:10:00,93560.0,93660.0,93560.0,93612.7,164.18
2025-01-01 05:15:00,93612.7,93660.0,93591.2,93660.0,177.444
2025-01-01 05:20:00,93659.9,93736.6,93659.9,93700.0,264.122
2025-01-01 05:25:00,93700.0,93912.3,93700.0,93866.8,710.957
2025-01-01 05:30:00,93866.7,93914.7,93805.1,93805.1,199.343
2025-01-01 05:35:00,93805.1,93839.8,93782.8,93782.8,168.448
2025-01-01 05:40:00,93782.8,93850.0,93763.6,93826.1,121.578
2025-01-01 05:45:00,93826.1,93837.0,93800.0,93813.7,104.065
2025-01-01 05:50:00,93813.8,93813.8,93765.1,93767.6,124.951
2025-01-01 05:55:00,93767.5,93767.6,93754.4,93760.0,69.104
2025-01-01 06:00:00,93760.0,93760.0,93696.6,93696.7,182.794
2025-01-01 06:05:00,93696.6,93696.7,93626.0,93636.7,145.071
2025-01-01 06:10:00,93636.8,93653.8,93580.0,93580.1,182.197
2025-01-01 06:15:00,93580.0,93646.8,93580.0,93599.4,239.372
2025-01-01 06:20:00,93599.3,93684.1,93599.3,93652.8,125.845
2025-01-01 06:25:00,93652.8,93667.9,93628.8,93633.7,84.871
2025-01-01 06:30:00,93633.6,93633.7,93570.4,93579.4,246.238
2025-01-01 06:35:00,93579.4,93622.6,93533.3,93608.7,263.936
2025-01-01 06:40:00,93608.7,93674.6,93608.6,93674.6,145.789
2025-01-01 06:45:00,93674.6,93698.0,93641.7,93641.8,95.368
2025-01-01 06:50:00,93641.7,93700.7,93636.4,93699.3,101.339
2025-01-01 06:55:00,93699.4,93735.5,93685.2,93734.2,158.107
2025-01-01 07:00:00,93734.2,93734.3,93657.0,93657.8,86.364
2025-01-01 07:05:00,93657.8,93675.8,93627.7,93633.4,82.801
2025-01-01 07:10:00,93633.5,93661.3,93628.1,93649.7,84.788
2025-01-01 07:15:00,93649.7,93700.0,93646.9,93700.0,122.816
2025-01-01 07:20:00,93700.0,93739.4,93685.0,93711.9,122.132
2025-01-01 07:25:00,93711.9,93759.8,93709.3,93759.7,61.802
2025-01-01 07:30:00,93759.7,93765.8,93735.4,93737.1,93.218
2025-01-01 07:35:00,93737.1,93785.4,93728.2,93753.8,101.866
2025-01-01 07:40:00,93753.9,93753.9,93698.9,93715.3,83.697
2025-01-01 07:45:00,93715.4,93726.6,93690.0,93690.1,83.499
2025-01-01 07:50:00,93690.1,93748.1,93690.0,93745.1,73.147
2025-01-01 07:55:00,93745.2,93745.2,93651.1,93660.7,161.785
2025-01-01 08:00:00,93660.7,93697.1,93660.7,93687.1,88.477
2025-01-01 08:05:00,93687.2,93735.2,93645.4,93700.0,157.664
2025-01-01 08:10:00,93700.0,93720.0,93696.8,93711.7,80.895
2025-01-01 08:15:00,93711.6,93719.9,93646.6,93646.7,112.973
2025-01-01 08:20:00,93646.7,93657.6,93642.2,93643.1,91.409
2025-01-01 08:25:00,93643.0,93643.1,93258.8,93384.1,1537.967
2025-01-01 08:30:00,93384.0,93487.8,93364.8,93435.2,377.961
2025-01-01 08:35:00,93435.1,93494.8,93399.8,93441.4,219.124
2025-01-01 08:40:00,93441.3,93497.9,93441.3,93450.0,129.974
2025-01-01 08:45:00,93450.1,93450.1,93300.0,93359.5,385.56
2025-01-01 08:50:00,93359.4,93523.4,93359.4,93481.8,246.483
2025-01-01 08:55:00,93481.8,93481.9,93398.1,93398.2,96.838
2025-01-01 09:00:00,93398.2,93459.6,93398.1,93459.6,115.238
2025-01-01 09:05:00,93459.6,93462.9,93327.5,93379.9,329.273
2025-01-01 09:10:00,93379.9,93392.0,93176.5,93297.2,887.046
2025-01-01 09:15:00,93297.1,93299.2,93150.0,93243.4,548.659
2025-01-01 09:20:00,93243.3,93274.4,93075.5,93086.4,934.155
2025-01-01 09:25:00,93086.4,93112.7,92796.5,93112.7,2772.056
2025-01-01 09:30:00,93112.7,93266.3,93052.1,93176.4,752.316
2025-01-01 09:35:00,93176.5,93178.0,92990.0,93017.2,413.521
2025-01-01 09:40:00,93017.2,93090.8,92960.2,93074.3,522.886
2025-01-01 09:45:00,93074.4,93214.2,93022.0,93171.7,447.189
2025-01-01 09:50:00,93171.7,93395.8,93171.6,93361.7,690.29
2025-01-01 09:55:00,93361.7,93394.8,93331.1,93382.1,257.183
2025-01-01 10:00:00,93382.1,93510.0,93309.3,93455.8,630.787
2025-01-01 10:05:00,93455.7,93500.0,93405.2,93405.2,318.083
2025-01-01 10:10:00,93405.2,93412.1,93328.5,93354.8,229.363
2025-01-01 10:15:00,93354.8,93499.0,93347.2,93498.9,232.653
2025-01-01 10:20:00,93498.9,93510.0,93455.9,93472.7,217.101
2025-01-01 10:25:00,93472.8,93488.7,93370.2,93372.1,203.759
2025-01-01 10:30:00,93372.2,93481.3,93360.0,93371.9,221.748
2025-01-01 10:35:00,93371.9,93399.9,93337.8,93350.1,168.208
2025-01-01 10:40:00,93350.0,93400.0,93250.1,93368.7,326.582
2025-01-01 10:45:00,93368.6,93399.9,93316.1,93338.1,150.139
2025-01-01 10:50:00,93337.8,93337.8,93279.9,93304.1,154.874
2025-01-01 10:55:00,93304.4,93328.2,93257.2,93307.7,135.813
2025-01-01 11:00:00,93307.8,93337.3,93160.1,93183.6,347.415
2025-01-01 11:05:00,93183.7,93330.0,93160.0,93330.0,294.331
2025-01-01 11:10:00,93329.9,93355.5,93270.7,93302.4,159.352
2025-01-01 11:15:00,93302.4,93447.0,93302.4,93379.2,310.721
2025-01-01 11:20:00,93379.1,93461.0,93359.8,93429.9,207.505
2025-01-01 11:25:00,93429.9,93474.7,93400.5,93474.7,154.291
2025-01-01 11:30:00,93474.7,93490.0,93399.4,93419.5,283.24
2025-01-01 11:35:00,93419.5,93419.6,93373.7,93404.8,131.249
2025-01-01 11:40:00,93404.7,93587.6,93392.5,93581.6,676.957
2025-01-01 11:45:00,93581.6,93692.3,93500.0,93509.2,831.714
2025-01-01 11:50:00,93509.2,93518.7,93455.0,93455.1,228.88
2025-01-01 11:55:00,93455.2,93455.2,93409.4,93420.1,195.086
2025-01-01 12:00:00,93420.1,93480.8,93375.1,93472.9,204.478
2025-01-01 12:05:00,93472.9,93493.2,93435.3,93454.4,205.103
2025-01-01 12:10:00,93454.3,93454.4,93375.0,93419.5,138.842
2025-01-01 12:15:00,93419.5,93553.5,93419.4,93523.6,284.223
2025-01-01 12:20:00,93523.6,93831.0,93523.5,93746.6,892.884
2025-01-01 12:25:00,93746.4,93967.9,93741.4,93854.7,1160.59
2025-01-01 12:30:00,93854.7,93875.4,93771.2,93779.3,609.301
2025-01-01 12:35:00,93780.0,93849.3,93722.1,93806.2,418.652
2025-01-01 12:40:00,93806.1,93846.7,93739.0,93755.5,211.824
2025-01-01 12:45:00,93755.4,93755.5,93666.3,93681.4,267.256
2025-01-01 12:50:00,93681.4,93739.5,93657.7,93739.5,168.703
2025-01-01 12:55:00,93739.9,93818.0,93739.9,93788.3,199.075
2025-01-01 13:00:00,93788.4,93870.0,93735.3,93862.1,317.785
2025-01-01 13:05:00,93862.1,93871.9,93642.9,93642.9,390.765
2025-01-01 13:10:00,93643.0,93682.4,93611.1,93627.1,244.465
2025-01-01 13:15:00,93627.0,93700.0,93579.4,93657.3,279.521
2025-01-01 13:20:00,93657.2,93682.3,93570.0,93609.0,219.341
2025-01-01 13:25:00,93609.0,93765.0,93602.4,93694.0,190.53
2025-01-01 13:30:00,93693.9,93840.2,93686.0,93823.1,266.659
2025-01-01 13:35:00,93823.1,93874.9,93740.0,93748.1,289.262
2025-01-01 13:40:00,93748.1,93800.0,93694.2,93752.0,102.548
2025-01-01 13:45:00,93752.0,93880.0,93716.9,93871.0,235.79
2025-01-01 13:50:00,93871.0,93895.8,93813.6,93843.7,385.953
2025-01-01 13:55:00,93843.7,94035.4,93843.6,93995.2,537.687
2025-01-01 14:00:00,93995.3,94349.5,93995.2,94346.3,1889.468
2025-01-01 14:05:00,94346.2,94430.0,94139.1,94240.1,1253.78
2025-01-01 14:10:00,94240.0,94330.3,94190.1,94220.2,527.038
2025-01-01 14:15:00,94220.2,94276.5,94104.8,94138.2,563.615
2025-01-01 14:20:00,94138.3,94188.3,94117.9,94142.7,222.302
2025-01-01 14:25:00,94142.6,94142.7,93848.1,93884.6,1203.311
2025-01-01 14:30:00,93884.5,93884.5,93622.7,93757.8,1430.263
2025-01-01 14:35:00,93757.9,94114.6,93757.8,94032.7,959.361
2025-01-01 14:40:00,94032.8,94072.6,93905.3,93940.3,331.066
2025-01-01 14:45:00,93940.3,94199.0,93866.8,94100.2,582.57
2025-01-01 14:50:00,94100.2,94168.7,94067.2,94091.6,223.934
2025-01-01 14:55:00,94091.6,94164.1,94081.4,94147.2,215.227
2025-01-01 15:00:00,94147.2,94245.6,94080.4,94156.7,289.829
2025-01-01 15:05:00,94156.6,94180.0,94040.3,94073.2,294.66
2025-01-01 15:10:00,94073.2,94080.8,93854.4,93957.7,617.45
2025-01-01 15:15:00,93957.7,94136.0,93885.7,94135.8,506.19
2025-01-01 15:20:00,94135.8,94226.0,94107.5,94188.5,370.231
2025-01-01 15:25:00,94188.4,94197.0,94102.5,94130.2,167.274
2025-01-01 15:30:00,94130.2,94192.1,94079.3,94101.1,187.68
2025-01-01 15:35:00,94101.0,94155.0,94055.8,94155.0,131.266
2025-01-01 15:40:00,94155.0,94242.1,94116.3,94228.0,284.572
2025-01-01 15:45:00,94228.0,94398.0,94212.4,94315.8,813.501
2025-01-01 15:50:00,94315.8,94343.2,94245.6,94328.9,301.949
2025-01-01 15:55:00,94329.0,94489.5,94275.0,94409.9,539.295
2025-01-01 16:00:00,94409.9,94475.0,94273.1,94308.1,552.772
2025-01-01 16:05:00,94308.0,94423.9,94290.0,94395.6,393.747
2025-01-01 16:10:00,94395.6,94395.6,94220.0,94246.7,422.135
