timestamp,tenor_label,expiry,dte,F,sigma_ATM_pct,RR25_pct,BF25_pct,iv_10dp_pct,iv_25dp_pct,iv_25dc_pct,iv_10dc_pct,strike_10dp,strike_25dp,strike_atm,strike_25dc,strike_10dc
2026-04-09 18:00:24,1M,20260508,28,1.17227,6.6594,4.0181,-2.1339,5.8933,2.5164,6.5345,6.7543,1.2186,1.2198,1.1719,1.1887,1.2019
2026-04-09 18:00:24,3M,20260702,83,1.17227,6.4627,3.0227,-1.4573,6.9302,3.494,6.5167,6.9981,1.2648,1.2527,1.1784,1.2036,1.2293
2026-04-09 18:00:24,4M,20260807,119,1.17227,6.4867,2.6801,-1.1858,6.8027,3.9609,6.641,7.1187,1.2708,1.2538,1.1784,1.2093,1.239
2026-04-09 18:00:24,5M,20260904,147,1.17227,6.4878,2.7505,-1.1935,6.6752,3.919,6.6696,7.1284,1.279,1.2706,1.1783,1.213,1.2448
2026-04-09 18:00:24,6M,20261009,182,1.17227,6.5566,1.9506,-0.7438,6.7385,4.8374,6.7881,7.1414,1.2924,1.3022,1.1818,1.2213,1.254
