time,open,high,low,close,ask_size,bid_size
2025-06-25 00:00:00,106087.9,106130.0,106072.0,106072.1,3.270138,4.575117
2025-06-25 00:01:00,106072.0,106097.2,106063.0,106071.8,1.0499,0.560414
2025-06-25 00:02:00,106071.9,106071.9,106022.8,106022.9,2.298718,0.002983
2025-06-25 00:03:00,106022.8,106079.7,106015.3,106065.8,1.608724,2.392039
2025-06-25 00:04:00,106065.8,106083.0,106041.0,106041.0,1.6840920000000001,1.465795
2025-06-25 00:05:00,106041.0,106064.4,106041.0,106064.1,0.789551,1.602864
2025-06-25 00:06:00,106064.1,106080.6,106034.1,106080.6,4.270078,1.330071
2025-06-25 00:07:00,106080.6,106141.0,106075.1,106122.9,1.45133,3.958672
2025-06-25 00:08:00,106122.9,106178.2,106122.9,106151.2,1.957538,3.8663
2025-06-25 00:09:00,106151.2,106218.3,106151.1,106218.3,0.208981,8.410583
2025-06-25 00:10:00,106218.3,106281.2,106218.3,106244.0,5.590046,8.921890999999999
2025-06-25 00:11:00,106244.0,106244.0,106149.1,106187.2,3.5174600000000003,1.196479
2025-06-25 00:12:00,106187.1,106237.6,106187.1,106213.7,1.972769,0.57494
2025-06-25 00:13:00,106213.7,106422.6,106213.7,106393.1,7.543674,21.402355
2025-06-25 00:14:00,106393.1,106454.5,106387.6,106440.7,5.733927,3.955077
2025-06-25 00:15:00,106440.7,106441.7,106380.5,106389.9,4.859149,3.553007
2025-06-25 00:16:00,106389.9,106396.4,106247.9,106247.9,7.26476,3.759538
2025-06-25 00:17:00,106248.0,106282.2,106226.0,106236.0,6.493247,2.698726
2025-06-25 00:18:00,106235.5,106243.5,106160.2,106195.3,3.506557,2.450854
2025-06-25 00:19:00,106195.2,106268.0,106188.6,106267.9,4.014786,2.331142
2025-06-25 00:20:00,106267.9,106268.0,106201.1,106230.7,3.260269,2.394255
2025-06-25 00:21:00,106230.8,106230.8,106156.5,106156.5,2.221418,0.3903
2025-06-25 00:22:00,106156.5,106182.7,106124.7,106124.7,2.202258,3.059424
2025-06-25 00:23:00,106124.3,106154.1,106101.2,106154.0,1.347723,1.314314
2025-06-25 00:24:00,106154.0,106154.2,106126.7,106132.3,5.349463,1.017023
2025-06-25 00:25:00,106132.4,106154.4,106127.9,106151.5,0.92834,1.56278
2025-06-25 00:26:00,106151.5,106151.5,106119.8,106133.6,2.846208,0.566817
2025-06-25 00:27:00,106133.6,106138.6,106092.0,106126.1,1.520176,1.529401
2025-06-25 00:28:00,106126.2,106148.2,106126.1,106148.1,0.010166,0.45276
2025-06-25 00:29:00,106148.2,106165.8,106148.1,106165.7,0.590038,0.886736
2025-06-25 00:30:00,106165.7,106165.7,106117.5,106117.5,2.277497,0.583765
2025-06-25 00:31:00,106116.3,106119.3,106116.2,106119.3,0.05771,0.539552
2025-06-25 00:32:00,106119.4,106165.7,106119.3,106148.3,2.6590030000000002,1.705759
2025-06-25 00:33:00,106148.4,106148.4,106123.0,106123.0,0.866946,0.027492
2025-06-25 00:34:00,106123.0,106131.8,105916.8,105924.2,10.692713,6.963482
2025-06-25 00:35:00,105924.2,105924.2,105819.7,105820.8,6.611404,2.125934
2025-06-25 00:36:00,105820.8,105898.6,105820.8,105844.5,2.312823,4.983175
2025-06-25 00:37:00,105844.4,105862.4,105817.3,105834.6,2.04257,2.54039
2025-06-25 00:38:00,105834.7,105846.0,105810.1,105820.7,2.059014,2.008858
2025-06-25 00:39:00,105820.7,105891.9,105820.6,105891.8,0.696128,3.367635
2025-06-25 00:40:00,105892.0,105915.6,105877.6,105893.9,1.074243,0.674318
2025-06-25 00:41:00,105893.9,105904.4,105880.7,105891.4,0.947985,1.003741
2025-06-25 00:42:00,105891.4,105891.4,105859.0,105859.1,1.31863,0.025736
2025-06-25 00:43:00,105859.0,105909.8,105859.0,105909.8,0.61704,3.773526
2025-06-25 00:44:00,105909.8,105949.0,105904.9,105949.0,0.41810400000000003,1.599972
2025-06-25 00:45:00,105949.1,105990.3,105949.1,105980.4,1.580181,1.211638
2025-06-25 00:46:00,105980.4,105980.4,105930.0,105930.1,1.512691,0.033638
2025-06-25 00:47:00,105930.1,105963.7,105930.0,105953.3,0.579836,1.248398
2025-06-25 00:48:00,105953.4,105953.4,105930.0,105935.3,3.498834,0.521093
2025-06-25 00:49:00,105935.3,105964.9,105935.3,105955.3,0.518043,1.235101
2025-06-25 00:50:00,105955.3,106016.6,105955.3,106016.6,2.847006,3.748028
2025-06-25 00:51:00,106016.7,106242.0,106016.7,106213.2,1.859841,10.359825
2025-06-25 00:52:00,106212.9,106212.9,106155.5,106164.7,1.8800240000000001,1.489219
2025-06-25 00:53:00,106164.7,106180.1,106122.8,106131.8,4.022601,1.300344
2025-06-25 00:54:00,106131.9,106232.8,106131.9,106232.8,1.16287,2.63382
2025-06-25 00:55:00,106232.8,106480.6,106232.8,106480.5,4.534035,11.697329
2025-06-25 00:56:00,106480.6,106480.6,106342.5,106413.9,12.715685,6.071052
2025-06-25 00:57:00,106413.9,106424.4,106354.6,106377.7,3.782533,11.640134
2025-06-25 00:58:00,106377.7,106377.7,106337.4,106357.7,13.017025,10.61286
2025-06-25 00:59:00,106357.7,106414.1,106348.2,106402.6,2.44571,10.126984
2025-06-25 01:00:00,106402.5,106414.6,106348.3,106368.5,3.222007,10.88934
2025-06-25 01:01:00,106368.5,106424.2,106368.5,106401.0,2.416818,12.671324
2025-06-25 01:02:00,106399.6,106477.8,106388.9,106477.8,2.108472,6.274871
2025-06-25 01:03:00,106477.7,106477.7,106362.3,106363.6,3.7016400000000003,1.829864
2025-06-25 01:04:00,106363.6,106429.9,106321.9,106404.5,4.111123,3.375994
2025-06-25 01:05:00,106404.5,106430.8,106384.0,106384.0,2.650098,1.547117
2025-06-25 01:06:00,106384.1,106391.8,106303.0,106303.0,5.315939,1.724556
2025-06-25 01:07:00,106302.2,106389.7,106302.2,106381.3,0.834117,7.271294
2025-06-25 01:08:00,106381.2,106381.2,106348.6,106359.1,6.5999810000000005,1.4314390000000001
2025-06-25 01:09:00,106359.1,106416.6,106359.1,106416.6,0.881788,3.876509
2025-06-25 01:10:00,106416.6,106416.6,106377.4,106387.1,9.204949000000001,4.850594
2025-06-25 01:11:00,106387.7,106414.2,106363.9,106414.1,0.9180550000000001,2.9756620000000003
2025-06-25 01:12:00,106414.2,106460.1,106402.4,106450.3,1.29732,3.093641
2025-06-25 01:13:00,106450.4,106451.5,106414.7,106437.8,2.303088,4.100036
2025-06-25 01:14:00,106437.8,106437.9,106392.9,106415.5,1.109145,1.016796
2025-06-25 01:15:00,106415.5,106415.5,106382.8,106412.9,8.081794,1.108327
2025-06-25 01:16:00,106413.1,106453.2,106413.1,106453.1,1.220063,8.439677
