open,high,low,close,volume,bid_size,ask_size,VWAP_5m,london_open,ny_open,hk_open,dif_low_pivot,dif_high_pivot,low_pivot,high_pivot,Rolling_VWAP_240min,volume_low_Pivot,volume_high_Pivot,Dif_volume_low_Pivot,Dif_volume_high_Pivot,volume_delta,CVD,obi,price_change,reaction_ratio,rolling_std_price,rolling_mean_cvd,low_below_pivot,high_above_pivot,vwap_below_volume_low,vwap_above_volume_high
106087.9,106130.0,106015.3,106041.0,18.907919999999997,8.996348,9.911572,106069.77166757808,0,0,0,,,,,106062.09999999999,,,,,-0.9152240000000003,-0.9152240000000003,-0.04840426656933159,,,,,0,0,0,0
106041.0,106218.3,106034.1,106218.3,27.845968,19.16849,8.677478,106132.0724279891,0,0,0,,,,,106118.5615667129,,,,,10.491011999999998,9.575787999999998,0.3767515641626553,177.3000000000029,18.515445567984315,,,0,0,0,0
106218.3,106454.5,106149.1,106440.7,60.408618000000004,36.050742,24.357876,106316.6086775378,0,0,0,,,,,106247.9547663527,106247.9547663527,,68.6539111851016,,11.692865999999999,21.268653999999998,0.19356287872380123,222.39999999999418,10.456702598259936,,,0,0,1,0
106440.7,106441.7,106160.2,106267.9,40.931765999999996,14.793267,26.138499,106285.34507318675,0,0,0,,,,,106259.55721969178,106247.9547663527,,37.39030683404417,,-11.345232,9.923421999999999,-0.2771742611770728,-172.8000000000029,-17.41334618105093,,,0,0,1,0
106267.9,106268.0,106101.2,106132.3,22.556447,8.175315999999999,14.381131,106168.03864980894,0,0,0,,,,,106247.34512574442,,,,,-6.205815000000001,3.7176069999999974,-0.27512378167203716,-135.59999999999127,-36.47506676335734,,,0,0,0,0
106132.4,106165.8,106092.0,106165.7,10.893422000000001,4.998494,5.894928,106136.29529659277,0,0,0,,,,,106240.97396578481,,,,,-0.8964340000000002,2.8211729999999973,-0.08229131304356967,33.39999999999418,11.839042894906237,,,0,0,0,0
106165.7,106165.7,105916.8,105924.2,26.373919,9.82005,16.553869,106039.4605172734,0,0,0,,,,,106210.6902756509,,,,,-6.733818999999999,-3.9126460000000014,-0.2553211375125812,-241.5,61.722952120624264,,,0,0,0,0
105924.2,105924.2,105810.1,105891.8,28.747931,15.025992,13.721939,105849.87402767989,0,0,0,,,,,106169.95835665816,,106169.95835665816,,320.08432897826424,1.3040529999999997,-2.6085930000000017,0.04536162967535431,-32.39999999999418,12.420493507606464,,,0,0,0,1
105892.0,105949.0,105859.0,105949.0,11.453295,7.077293,4.376002,105897.7769072015,0,0,0,,,,,106158.37400891213,,106169.95835665816,,272.1814494566497,2.7012910000000003,0.09269799999999861,0.23585273930027537,57.19999999999709,617.0508851227946,,,0,0,0,1
105949.1,105990.3,105930.0,105955.3,11.939453,4.249868,7.689585,105951.63359565412,0,0,0,,,,,106149.1992033942,,106169.95835665816,,218.32476100404165,-3.439717,-3.3470190000000013,-0.28809669921326403,6.30000000000291,-1.8822725184038174,177.97487213398657,3.6615859999999985,0,0,0,1
105955.3,106242.0,105955.3,106232.8,31.303578,19.531236,11.772342,106128.51744300284,0,0,0,,,,,106148.57256344202,,106169.95835665816,,41.440913655314944,7.758894,4.411874999999998,0.2478596536073972,277.5,62.89841328269428,181.37774578670087,4.194295899999998,0,0,0,1
106232.8,106480.6,106232.8,106402.6,86.643347,50.148359,36.494988,106386.46279417968,0,0,0,,,,,106199.78476145558,,,,,13.653371,18.065246,0.15758129703648702,169.8000000000029,9.39926257304995,201.02380207328557,5.0432416999999985,0,0,0,0
106402.5,106477.8,106321.9,106404.5,50.601453,35.041393,15.56006,106398.95276897946,0,0,1,,,,,106223.58750203699,106223.58750203699,,175.36526694247732,,19.481333,37.546578999999994,0.3849955257137578,1.8999999999941792,0.05060380998733253,195.17254161382277,6.6710341999999985,0,0,1,0
106404.5,106430.8,106302.2,106416.6,32.132838,15.850915,16.281923,106364.882025975,0,0,1,,,,,106234.71916640461,106223.58750203699,,141.29452393802057,,-0.4310079999999985,37.115570999999996,-0.01341331879825197,12.10000000000582,0.3260087167727288,211.59884897817582,9.390249099999997,0,0,1,0
106416.6,106460.1,106363.9,106415.5,30.869286000000002,16.036729,14.832557,106410.40554906042,0,0,1,,,,,106245.92429938864,106223.58750203699,,186.81804702343652,,1.2041720000000016,38.319742999999995,0.03900874156794533,-1.1000000000058208,-0.028705828515081442,227.68172717389837,12.850462699999998,0,0,1,0
106415.5,106645.0,106113.1,106138.5,101.01171,54.440534,46.571176,106409.14210459034,0,0,1,,,,,106254.94827844502,106223.58750203699,,185.55460255335493,,7.869357999999998,46.189100999999994,0.07790540324406045,-277.0,-5.997085632883706,227.97807301970582,17.1872555,0,0,1,0
106138.4,106226.8,106039.1,106074.2,40.298614,17.984989,22.313625,106130.08276353624,0,0,1,,,,,106245.93363734674,,,,,-4.3286359999999995,41.86046499999999,-0.10741401676724131,-64.30000000000291,-1.5360555231277866,214.3081934452778,21.764566599999995,0,0,0,0
106074.1,106268.8,106074.1,106155.8,36.413162,15.114384,21.298778000000002,106176.32562312589,0,0,1,,,,,106241.59776676337,,,,,-6.184394000000003,35.676070999999986,-0.16983952121021964,81.60000000000582,2.287247318034504,188.45647183840487,25.593033,0,0,0,0
106155.7,106175.3,106016.7,106175.3,25.206863,13.354227,11.852636,106098.76070549383,0,0,1,,,,,106237.27294267675,,,,,1.5015909999999995,37.177661999999984,0.0595707208763117,19.5,0.5245084931777452,165.18570324201198,29.301529399999993,0,0,0,0
106175.2,106409.1,106159.4,106366.7,19.668498,10.531317000000001,9.137181,106266.3677905942,0,0,1,,,,,106239.32349918726,,,,,1.3941360000000014,38.57179799999999,0.07088167077776451,191.39999999999418,4.962174566967806,135.82200157233447,33.49341109999999,0,0,0,0
106366.7,106430.0,106325.6,106429.9,23.455424999999998,15.355966999999998,8.099458,106363.28496896845,0,0,1,,,,,106244.27883134366,,,,,7.256508999999998,45.82830699999998,0.30937444108092793,63.19999999999709,1.3790602960946565,142.6244968829532,37.63505429999999,0,0,0,0
106429.9,106437.1,106252.5,106340.5,14.789947000000002,7.846184,6.943763000000001,106349.01791672184,0,0,1,,,,,106246.22646519834,,,,,0.9024209999999995,46.73072799999998,0.06101583730752947,-89.39999999999418,-1.9130880667407142,138.86452430738112,40.50160249999999,0,0,0,0
106340.4,106412.1,106320.6,106367.8,12.208928,5.983813,6.225115000000001,106364.54127407419,0,0,1,,,,,106248.1521262384,,,,,-0.24130200000000102,46.48942599999998,-0.019764388812861917,27.30000000000291,0.5872302964715596,136.00921374019623,41.39588719999999,0,0,0,0
